state,2014,2022,change
Alabama,2,16,14
Arizona,1,13,12
Arkansas,2,5,3
California,41,50,9
Colorado,2,13,11
Connecticut,1,3,2
District of Columbia,6,9,3
Florida,17,31,14
Georgia,17,29,12
Illinois,26,57,31
Indiana,8,15,7
Kentucky,4,9,5
Louisiana,11,28,17
Maryland,1,19,18
Massachusetts,4,3,-1
Michigan,11,25,14
Minnesota,1,12,11
Mississippi,5,14,9
Missouri,8,14,6
Nevada,4,5,1
New Jersey,6,9,3
New Mexico,1,4,3
New York,14,31,17
North Carolina,3,21,18
Ohio,7,19,12
Oklahoma,2,8,6
Oregon,2,6,4
Pennsylvania,10,34,24
South Carolina,7,20,13
Tennessee,13,17,4
Texas,17,50,33
Virginia,8,20,12
Washington,3,11,8
Wisconsin,2,16,14
