state,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,2.0,4.0,15.0,7.0,14.0,12.0,11.0,23.0,16.0
Alaska,1.0,,,,,,3.0,1.0,
Arizona,1.0,6.0,4.0,5.0,2.0,6.0,4.0,6.0,13.0
Arkansas,2.0,2.0,3.0,3.0,6.0,5.0,13.0,5.0,5.0
California,41.0,27.0,46.0,38.0,35.0,49.0,39.0,45.0,50.0
Colorado,2.0,3.0,4.0,2.0,8.0,4.0,11.0,13.0,13.0
Connecticut,1.0,2.0,6.0,2.0,2.0,3.0,7.0,2.0,3.0
Delaware,,1.0,2.0,1.0,1.0,2.0,3.0,7.0,2.0
District of Columbia,6.0,3.0,5.0,5.0,6.0,7.0,8.0,16.0,9.0
Florida,17.0,26.0,30.0,24.0,30.0,15.0,34.0,31.0,31.0
Georgia,17.0,20.0,17.0,9.0,8.0,19.0,17.0,22.0,29.0
Idaho,,,,,,,1.0,1.0,
Illinois,26.0,25.0,42.0,37.0,35.0,41.0,68.0,86.0,57.0
Indiana,8.0,10.0,8.0,7.0,6.0,10.0,7.0,14.0,15.0
Iowa,,2.0,,2.0,,3.0,4.0,5.0,2.0
Kansas,,1.0,5.0,4.0,2.0,4.0,2.0,2.0,3.0
Kentucky,4.0,4.0,2.0,6.0,4.0,5.0,10.0,4.0,9.0
Louisiana,11.0,15.0,14.0,15.0,13.0,26.0,27.0,32.0,28.0
Maine,1.0,,,1.0,,,1.0,,
Maryland,1.0,13.0,11.0,8.0,9.0,21.0,18.0,20.0,19.0
Massachusetts,4.0,5.0,3.0,1.0,1.0,5.0,8.0,4.0,3.0
Michigan,11.0,11.0,11.0,8.0,8.0,9.0,21.0,26.0,25.0
Minnesota,1.0,5.0,5.0,4.0,3.0,2.0,6.0,11.0,12.0
Mississippi,5.0,2.0,6.0,13.0,3.0,6.0,17.0,13.0,14.0
Missouri,8.0,13.0,10.0,10.0,14.0,18.0,22.0,17.0,14.0
Montana,,1.0,,1.0,,2.0,,,
Nebraska,,3.0,,,3.0,1.0,2.0,1.0,5.0
Nevada,4.0,1.0,3.0,2.0,4.0,3.0,4.0,5.0,5.0
New Hampshire,,,,,,,,1.0,
New Jersey,6.0,9.0,9.0,13.0,10.0,11.0,12.0,14.0,9.0
New Mexico,1.0,2.0,4.0,2.0,2.0,5.0,3.0,1.0,4.0
New York,14.0,21.0,15.0,13.0,13.0,9.0,38.0,36.0,31.0
North Carolina,3.0,12.0,9.0,7.0,10.0,11.0,20.0,22.0,21.0
Ohio,7.0,14.0,11.0,21.0,11.0,14.0,25.0,32.0,19.0
Oklahoma,2.0,5.0,1.0,1.0,5.0,4.0,2.0,2.0,8.0
Oregon,2.0,2.0,2.0,,,1.0,2.0,7.0,6.0
Pennsylvania,10.0,14.0,10.0,16.0,19.0,19.0,34.0,35.0,34.0
Rhode Island,1.0,1.0,,,,,,2.0,
South Carolina,7.0,11.0,5.0,7.0,4.0,10.0,22.0,17.0,20.0
South Dakota,1.0,1.0,,,,,1.0,1.0,
Tennessee,13.0,11.0,12.0,14.0,18.0,7.0,19.0,15.0,17.0
Texas,17.0,18.0,31.0,22.0,15.0,30.0,34.0,57.0,50.0
Utah,2.0,,,1.0,1.0,,1.0,1.0,
Vermont,,1.0,,,,,,,
Virginia,8.0,5.0,11.0,12.0,4.0,10.0,11.0,16.0,20.0
Washington,3.0,1.0,8.0,3.0,3.0,4.0,5.0,7.0,11.0
West Virginia,,,1.0,,,,3.0,1.0,
Wisconsin,2.0,3.0,2.0,2.0,4.0,3.0,10.0,11.0,16.0
Wyoming,,,,,,1.0,,,
